hafas-id,name
aare-seeland-mobil,Aare Seeland mobil
aargau-verkehr-ag,Aargau Verkehr AG
abellio-rail-gmbh,Abellio Rail GmbH
abellio-rail-mitteldeutschland-gmbh,Abellio Rail Mitteldeutschland GmbH
abellio-scotrail-service,Abellio ScotRail Service
adler-schiffe,Adler-Schiffe
adliswil-felsenegg,Adliswil-Felsenegg
agilis,agilis
akn-eisenbahn-gmbh,AKN Eisenbahn GmbH
albtal-verkehrs-gesellschaft-mbh,Albtal-Verkehrs-Gesellschaft mbH
alex-die-landerbahn-gmbh-dlb,alex - Die Länderbahn GmbH DLB
alpbus-fournier,Alpbus Fournier
alsa-bustours-gex-s-a-s,Alsa Bustours Gex S.A.S
andermatt-urserntal-tourismus-gmbh,Andermatt-Urserntal Tourismus GmbH
appenzeller-bahnen,Appenzeller Bahnen
arosa-bergbahnen,Arosa Bergbahnen
aroser-verkehrsbetriebe,Aroser Verkehrsbetriebe
arriva-danmark,Arriva Danmark
arriva-nederland,Arriva Nederland
arriva-rp,Arriva RP
arriva-vlaky,ARRIVA vlaky
attica-anek-international,ATTICA ANEK International
attica-hellenic-seaways,ATTICA Hellenic Seaways
aufzug-matte-plattform-bern,Aufzug Matte-Plattform (Bern)
auto-ag-schwyz,Auto AG Schwyz
auto-ag-uri,Auto AG Uri
auto-blt,Auto BLT
auto-leuk-leukerbad,Auto Leuk-Leukerbad
autobetrieb-sernftal,Autobetrieb Sernftal
autobetrieb-weesen-amden,Autobetrieb Weesen-Amden
autobus-ag-liestal,Autobus AG Liestal
autobusbetrieb-freienbach,Autobusbetrieb Freienbach
autokraft,Autokraft
autokurse-oberthurgau,Autokurse Oberthurgau
autolinea-mendrisiense-sa,Autolinea Mendrisiense SA
autolinee-bleniesi,Autolinee Bleniesi
autolinee-regionali-luganesi,Autolinee Regionali Luganesi
automobil-rottal-ag,Automobil Rottal AG
automobiles-cj,Automobiles CJ
autoservici-comazzi-s-r-l,Autoservici Comazzi S.R.L.
autoservizi-silvestri-livigno,Autoservizi Silvestri Livigno
