shortOperatorName,lineName,backgroundColor,textColor,borderColor,shape,wikidataQid,GTFSAgencyID,GTFSAgencyName
hsl,1,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,1H,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,1T,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,2,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,2H,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,3,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,3H,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,4,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,4H,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,4T,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,5,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,5H,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,5T,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,6,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,6H,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,7,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,7H,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,8,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,8H,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,8T,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,9,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,9H,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,9N,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,10,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,10B,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,10H,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,13,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,13H,#008151,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,15,#007e79,#ffffff,,rectangle-rounded-corner,Q31085928,HSL,Helsingin seudun liikenne
hsl,17,#007a97,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,19,#007a97,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,19E,#007a97,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,20,#ca4000,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,21,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,21N,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,22,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,22B,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,23,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,24,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,25,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,26,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,30,#ca4000,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,31,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,32,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,33,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,34,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,35,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,36,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,37,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,40,#ca4000,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,41,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,41A,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,42,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,52,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,53,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,54,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,55,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,56,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,57,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,59,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,61,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,61N,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,63,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,64,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,65,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,66,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,66K,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,67,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,67N,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,69,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,69N,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,70,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,71,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,73,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,73N,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,74,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,74B,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,74N,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,75,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,77,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,77N,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,78,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,78N,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,79,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,79B,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,79N,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,80,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,81,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,82,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,82B,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,83,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,84,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,85,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,85K,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,85N,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,86,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,86K,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,86N,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,87,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,87N,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,88,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,89,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,90,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,90A,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,90N,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,92,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,92N,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,94,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,94A,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,94B,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,94N,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,95,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,95N,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,96,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,96N,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,97,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,97N,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,97V,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,98,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,102N,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
hsl,105,#0074bf,#ffffff,,rectangle-rounded-corner,,HSL,Helsingin seudun liikenne
