shortOperatorName,lineName,backgroundColor,textColor,borderColor,shape,wikidataQid,GTFSAgencyID,GTFSAgencyName
lux-rgtr,110,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,111,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,112,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,113,#459845,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,114,#459845,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,115,#459845,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,116,#459845,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,117,#459845,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,118,#459845,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,119,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,120,#e83946,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,121,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,130,#e83946,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,131,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,132,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,133,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,134,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,135,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,136,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,137,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,138,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,139,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,140,#e83946,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,141,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,142,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,143,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,144,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,145,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,146,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,147,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,148,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,151,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,152,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,153,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,154,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,155,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,157,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,160,#e83946,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,161,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,162,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,163,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,164,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,165,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,170,#e83946,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,171,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,172,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,173,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
lux-rgtr,174,#9ac43f,#ffffff,,rectangle,,1,Régime Général des Transports Routiers
