shortOperatorName,lineName,backgroundColor,textColor,borderColor,shape,wikidataQid,GTFSAgencyID,GTFSAgencyName
vt-skara,1,#ed3e44,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-skara,2,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-boras,3,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-skovde,4,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-boras,5,#c6df8f,#0b2c53,,rectangle-rounded-corner,,279,Västtrafik
vt-boras,6,#9c5708,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-boras,7,#f79829,#0b2c53,,rectangle-rounded-corner,,279,Västtrafik
vt-boras,8,#00a262,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-skovde,9,#6751a2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-skovde,11,#9c5708,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-skovde,14,#f79829,#0b2c53,,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,17,#173282,#fff35a,,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,18,#292e2e,#fff35a,,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,19,#eb1464,#fff35a,,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,21,#903494,#fff35a,,rectangle-rounded-corner,,279,Västtrafik
vt-trollhattan,22,#c0ccc6,#0b2c53,,rectangle-rounded-corner,,279,Västtrafik
vt-trollhattan,23,#f79829,#0b2c53,,rectangle-rounded-corner,,279,Västtrafik
vt-trollhattan,24,#ed3e44,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,25,#0082c6,#fff35a,,rectangle-rounded-corner,,279,Västtrafik
vt-trollhattan,26,#55c6d2,#0b2c53,,rectangle-rounded-corner,,279,Västtrafik
vt-trollhattan,27,#e697c1,#0b2c53,,rectangle-rounded-corner,,279,Västtrafik
vt-trollhattan,41,#1d57a7,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-trollhattan,42,#8bc640,#0b2c53,,rectangle-rounded-corner,,279,Västtrafik
vt-vanersborg,60,#716658,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-vanersborg,61,#9c5708,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-vanersborg,62,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-vanersborg,63,#fccc9a,#0b2c53,,rectangle-rounded-corner,,279,Västtrafik
vt-vanersborg,64,#ffdd00,#0b2c53,,rectangle-rounded-corner,,279,Västtrafik
vt-vanersborg,65,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-vanersborg,66,#221f21,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-vanersborg,67,#ffffff,#0b2c53,#221f21,rectangle-rounded-corner,,279,Västtrafik
vt-vanersborg,68,#c6df8f,#0b2c53,,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,281,#21bdbf,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,282,#21bdbf,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,283,#21bdbf,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,284,#21bdbf,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,285,#21bdbf,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,286,#21bdbf,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,287,#21bdbf,#ffffff,,rectangle-rounded-corner,,279,Västtrafik
vt-vasttag,3301,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3302,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3308,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3309,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3332,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3334,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3335,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3341,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3344,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3346,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3347,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3348,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3349,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3351,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3353,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3355,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3356,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3359,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3360,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3363,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3589,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3420,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3421,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3424,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3425,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3426,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3428,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3429,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3431,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3432,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3435,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3436,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3441,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3446,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3449,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3450,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3458,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3461,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3463,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
