shortOperatorName,lineName,backgroundColor,textColor,borderColor,shape,wikidataQid,delfiAgencyID,delfiAgencyName
### VBN IDs aren't set!!!! ###
bsag,1,#00a54f,#ffffff,,rectangle,Q104796303,12020,Bremer Straßenbahn AG
bsag,1E,#00a54f,#ffffff,,rectangle,,12020,Bremer Straßenbahn AG
bsag,1S,#00a54f,#ffffff,,rectangle,Q112609280,12020,Bremer Straßenbahn AG
bsag,2,#0166b3,#ffffff,,rectangle,Q112609282,12020,Bremer Straßenbahn AG
bsag,3,#00aeef,#ffffff,,rectangle,Q98313027,12020,Bremer Straßenbahn AG
bsag,4,#ee1d23,#ffffff,,rectangle,Q112609286,12020,Bremer Straßenbahn AG
bsag,4S,#ee1d23,#ffffff,,rectangle,Q112609287,12020,Bremer Straßenbahn AG
bsag,5,#00aab8,#ffffff,,rectangle,Q112609290,12020,Bremer Straßenbahn AG
bsag,5S,#00aab8,#ffffff,,rectangle,,12020,Bremer Straßenbahn AG
bsag,6,#feca0a,#000000,,rectangle,Q112609293,12020,Bremer Straßenbahn AG
bsag,6E,#feca0a,#000000,,rectangle,,12020,Bremer Straßenbahn AG
bsag,8,#8bc63e,#ffffff,,rectangle,Q112609295,12020,Bremer Straßenbahn AG
bsag,10,#15258e,#ffffff,,rectangle,Q112609299,12020,Bremer Straßenbahn AG
bsag,14,#8bc63e,#ffffff,,rectangle,,12020,Bremer Straßenbahn AG
bsag,20,#8bc63e,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,21,#00aeef,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,22,#a69dcd,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,24,#951b81,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,25,#009640,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,26,#e30613,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,27,#ef7d00,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,28,#ffcc00,#000000,,pill,,12020,Bremer Straßenbahn AG
bsag,29,#95c11f,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,31,#95c11f,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,33,#ffcc00,#000000,,pill,,12020,Bremer Straßenbahn AG
bsag,34,#ffcc00,#000000,,pill,,12020,Bremer Straßenbahn AG
bsag,37,#951b81,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,38,#ffcc00,#000000,,pill,,12020,Bremer Straßenbahn AG
bsag,39,#ffcc00,#000000,,pill,,12020,Bremer Straßenbahn AG
bsag,40,#e30613,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,41,#e30613,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,41S,#e30613,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,42,#ffcc00,#000000,,pill,,12020,Bremer Straßenbahn AG
bsag,44,#ef7d00,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,52,#94c01f,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,55,#ffcc00,#000000,,pill,,12020,Bremer Straßenbahn AG
bsag,57,#ef7d00,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,58,#ef7d00,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,61,#009fe3,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,62,#009640,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,63,#312783,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,63S,#312783,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,65,#94c01f,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,66,#94c01f,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,80,#94c01f,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,81,#009640,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,82,#ef7d00,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,90,#312783,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,91,#009fe3,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,92,#009fe3,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,93,#ffcc00,#000000,,pill,,12020,Bremer Straßenbahn AG
bsag,94,#e30613,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,95,#ef7d00,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,96,#951b81,#ffffff,,pill,,12020,Bremer Straßenbahn AG
bsag,98,#009640,#ffffff,,pill,,12020,Bremer Straßenbahn AG


bsvg-braunschweig,1,#e2000a,#ffffff,,rectangle,Q121253956,12021,Braunschweiger Verkehrs-GmbH
bsvg-braunschweig,1E,#e2000a,#ffffff,,rectangle,Q121253956,12021,Braunschweiger Verkehrs-GmbH
bsvg-braunschweig,10,#e2000a,#ffffff,,rectangle,Q121253957,12021,Braunschweiger Verkehrs-GmbH
bsvg-braunschweig,2,#93c019,#ffffff,,rectangle,Q121253958,12021,Braunschweiger Verkehrs-GmbH
bsvg-braunschweig,2E,#93c019,#ffffff,,rectangle,Q121253958,12021,Braunschweiger Verkehrs-GmbH
bsvg-braunschweig,3,#006430,#ffffff,,rectangle,Q121253959,12021,Braunschweiger Verkehrs-GmbH
bsvg-braunschweig,3E,#006430,#ffffff,,rectangle,Q121253959,12021,Braunschweiger Verkehrs-GmbH
bsvg-braunschweig,4,#009ee2,#ffffff,,rectangle,Q121253960,12021,Braunschweiger Verkehrs-GmbH
bsvg-braunschweig,4E,#009ee2,#ffffff,,rectangle,Q121253960,12021,Braunschweiger Verkehrs-GmbH
bsvg-braunschweig,5,#f39100,#ffffff,,rectangle,Q121253961,12021,Braunschweiger Verkehrs-GmbH
bsvg-braunschweig,5E,#f39100,#ffffff,,rectangle,Q121253961,12021,Braunschweiger Verkehrs-GmbH


hvv-akn,A 1,#f7931d,#ffffff,,pill,Q19368804,10833,AKN Eisenbahn AG
hvv-akn,A 2,#f7931d,#ffffff,,pill,Q19582807,10833,AKN Eisenbahn AG
hvv-akn,A 3,#f7931d,#ffffff,,pill,Q19606155,10833,AKN Eisenbahn AG
hvv-db-sbhh,S 1,#4da553,#ffffff,,pill,Q19377130,10375,S-Bahn Hamburg
hvv-db-sbhh,S 2,#95334a,#ffffff,,pill,Q19390036,10375,S-Bahn Hamburg
hvv-db-sbhh,S 3,#512c75,#ffffff,,pill,Q19368685,10375,S-Bahn Hamburg
hvv-db-sbhh,S 5,#3b87a9,#ffffff,,pill,Q63451353,10375,S-Bahn Hamburg
hvv-db-sbhh,S 7,#c07b35,#ffffff,,pill,Q136881945,10375,S-Bahn Hamburg
hvv-had,61,#009bb6,#ffffff,,trapezoid,,15139,HADAG-ZVU
hvv-had,62,#009bb6,#ffffff,,trapezoid,,15139,HADAG-ZVU
hvv-had,64,#009bb6,#ffffff,,trapezoid,,15139,HADAG-ZVU
hvv-had,65,#009bb6,#ffffff,,trapezoid,,15139,HADAG-ZVU
hvv-had,66,#009bb6,#ffffff,,trapezoid,,15139,HADAG-ZVU
hvv-had,72,#009bb6,#ffffff,,trapezoid,,15139,HADAG-ZVU
hvv-had,73,#009bb6,#ffffff,,trapezoid,,15139,HADAG-ZVU
hvv-had,75,#009bb6,#ffffff,,trapezoid,,15139,HADAG-ZVU
hvv-hha,U 1,#0072bc,#ffffff,,rectangle,Q248623,15141,Hochbahn U-Bahn
hvv-hha,U 2,#ee1d23,#ffffff,,rectangle,Q275451,15141,Hochbahn U-Bahn
hvv-hha,U 3,#ffdc01,#ffffff,,rectangle,Q781351,15141,Hochbahn U-Bahn
hvv-hha,U 4,#00aaad,#ffffff,,rectangle,Q209739,15141,Hochbahn U-Bahn
hvv-hha,5,#eb4630,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,6,#18257b,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,8,#c49569,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,9,#5fb358,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,10,#ed753a,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,11,#903634,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,14,#dc424d,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,16,#571445,#ffffff,,hexagon,,15140,Hochbahn Bus
